BH;20200328                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CUSTOMER NUMBER;CUSTOMER NAME;APPROVED LIMIT;CIF BIRTHDATE;MOBILE NUMBER;LICENSE NUMBER;DAY OF CLOSING;CONTRACT NUMBER;CARD TYPE;EXPIRY DATE;CARD NO;EMAIL ADDRESS;RE-ISSUE FLAG;DATE OF OPENING CIF;CARD BLOCK CODE;ACTIVATION DATE;ACCOUNT BLOCK CODE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0000000000007278;UAT CR-69 751 015             ;00000000020000000;11111999;06975100015       ;697510000015;00000000;0027510000000221;751;00112019                                                                                                            ;000421194******0259                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;C                                                                                                                                                                                                                                                                                        
0000000000007286;UAT CR-69 751 016             ;00000000020000000;11111999;06975100016       ;697510000016;00000000;0027510000000239;751;00092022                                                                                                            ;000421194******0267                                                                                                                                                                                                                                                ;                                                  ;0;06112018;1                        ;00000000                                                                                                            ;P                                                                                                                                                                                                                                                                                        
0000000000007294;UAT CR-69 751 017             ;00000000020000000;11111999;06975100017       ;697510000017;00000000;0027510000000247;751;00092019                                                                                                            ;000421194******0275                                                                                                                                                                                                                                                ;                                                  ;0;06112018;1                        ;00000000                                                                                                            ;R                                                                                                                                                                                                                                                                                        
0000000000007302;UAT CR-69 751 018             ;00000000020000000;11111999;06975100018       ;697510000018;00000000;0027510000000254;751;00092019                                                                                                            ;000421194******0283                                                                                                                                                                                                                                                ;                                                  ;0;06112018;1                        ;00000000                                                                                                            ;O                                                                                                                                                                                                                                                                                        
0000000000007310;UAT CR-69 751 019             ;00000000020000000;11111999;06975100019       ;697510000019;00000000;0027510000000262;751;00092019                                                                                                            ;000421194******0291                                                                                                                                                                                                                                                ;                                                  ;0;06112018;I                        ;20042019                                                                                                            ;A                                                                                                                                                                                                                                                                                        
0000000000007328;UAT CR-69 751 020             ;00000000020000000;11111999;06975100020       ;697510000020;00000000;0027510000000270;751;00072019                                                                                                            ;000421194******0309                                                                                                                                                                                                                                                ;                                                  ;0;06112018;1                        ;20042019                                                                                                            ;C                                                                                                                                                                                                                                                                                        
0000000000007336;UAT CR-69 752 001             ;00000000020000000;11111999;0697520001        ;697520000001;00000000;0027520000000097;752;00072019                                                                                                            ;000421194******0158                                                                                                                                                                                                                                                ;                                                  ;0;06112018;1                        ;20042019                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007344;UAT CR-69 752 002             ;00000000020000000;11111999;0697520002        ;697520000002;00000000;0027520000000105;752;00092019                                                                                                            ;000421194******0166                                                                                                                                                                                                                                                ;                                                  ;0;06112018;1                        ;20042019                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007351;UAT CR-69 752 003             ;00000000020000000;11111999;0697520003        ;697520000003;00000000;0027520000000113;752;00092019                                                                                                            ;000421194******0174                                                                                                                                                                                                                                                ;                                                  ;0;06112018;1                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007369;UAT CR-69 752 004             ;00000000020000000;11111999;0697520004        ;697520000004;00000000;0027520000000121;752;00092019                                                                                                            ;000421194******0182                                                                                                                                                                                                                                                ;                                                  ;0;06112018;1                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007377;UAT CR-69 752 005             ;00000000020000000;11111999;0697520005        ;697520000005;00000000;0027520000000139;752;00092019                                                                                                            ;000421194******0190                                                                                                                                                                                                                                                ;                                                  ;0;06112018;1                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007385;UAT CR-69 752 006             ;00000000020000000;11111999;0697520006        ;697520000006;00000000;0027520000000147;752;00112019                                                                                                            ;000421194******0208                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007393;UAT CR-69 752 007             ;00000000020000000;11111999;0697520007        ;697520000007;00000000;0027520000000154;752;00092019                                                                                                            ;000421194******0216                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007401;UAT CR-69 752 008             ;00000000020000000;11111999;0697520009        ;697520000008;00000000;0027520000000162;752;00092019                                                                                                            ;000421194******0224                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007419;UAT CR-69 752 009             ;00000000020000000;11111999;0697520009        ;697520000009;00000000;0027520000000170;752;00092019                                                                                                            ;000421194******0232                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007427;UAT CR-69 752 010             ;00000000020000000;11111999;0697520010        ;697520000010;00000000;0027520000000188;752;00092019                                                                                                            ;000421194******0240                                                                                                                                                                                                                                                ;                                                  ;1;06112018;1                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007435;UAT CR-69 752 011             ;00000000020000000;11111999;0697520011        ;697520000011;00000000;0027520000000196;752;00112019                                                                                                            ;000421194******0257                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007443;UAT CR-69 752 012             ;00000000020000000;11111999;0697520012        ;697520000012;00000000;0027520000000204;752;00112019                                                                                                            ;000421194******0265                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007468;UAT CR-69 752 013             ;00000000020000000;11111999;0697520013        ;697520000013;00000000;0027520000000212;752;00112019                                                                                                            ;000421194******0273                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007526;UAT CR-69 752 014             ;00000000020000000;11111999;0697520014        ;697520000014;00000000;0027520000000220;752;00112019                                                                                                            ;000421194******0281                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007534;UAT CR-69 752 015             ;00000000020000000;11111999;0697520015        ;697520000015;00000000;0027520000000238;752;00112019                                                                                                            ;000421194******0299                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007542;UAT CR-69 752 016             ;00000000020000000;11111999;0697520016        ;697520000016;00000000;0027520000000246;752;00112019                                                                                                            ;000421194******0307                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007559;UAT CR-69 752 017             ;00000000020000000;11111999;0697520017        ;697520000017;00000000;0027520000000253;752;00112019                                                                                                            ;000421194******0315                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007567;UAT CR-69 752 018             ;00000000020000000;11111999;0697520018        ;697520000018;00000000;0027520000000261;752;00112019                                                                                                            ;000421194******0323                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007575;UAT CR-69 752 019             ;00000000020000000;11111999;0697520019        ;697520000019;00000000;0027520000000279;752;00112019                                                                                                            ;000421194******0331                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007583;UAT CR-69 752 020             ;00000000020000000;11111999;0697520020        ;697520000020;00000000;0027520000000287;752;00112019                                                                                                            ;000421194******0349                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007591;UAT CR-69 951 001             ;00000000020000000;11111999;0699510001        ;699510000001;00000000;0029510000000104;951;00112019                                                                                                            ;000421193******0116                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007609;UAT CR-69 951 002             ;00000000020000000;11111999;0699510002        ;699510000002;00000000;0029510000000112;951;00112019                                                                                                            ;000421193******0124                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007617;UAT CR-69 951 003             ;00000000020000000;11111999;0699510003        ;699510000003;00000000;0029510000000120;951;00112019                                                                                                            ;000421193******0132                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007625;UAT CR-69 951 004             ;00000000020000000;06112018;0699510004        ;699510000004;00000000;0029510000000138;951;00082022                                                                                                            ;000421193******0140                                                                                                                                                                                                                                                ;                                                  ;0;06112018;1                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007633;UAT CR-69 951 005             ;00000000020000000;11111999;0699510005        ;699510000005;00000000;0029510000000146;951;00112019                                                                                                            ;000421193******0157                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007641;UAT CR-69 951 006             ;00000000020000000;11111999;0699510006        ;699510000006;00000000;0029510000000153;951;00112019                                                                                                            ;000421193******0165                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007658;UAT CR-69 951 007             ;00000000020000000;11111999;0699510007        ;699510000007;00000000;0029510000000161;951;00112019                                                                                                            ;000421193******0173                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;05072019                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007666;UAT CR-69 951 008             ;00000000020000000;11111999;0699510008        ;699510000008;00000000;0029510000000179;951;00112019                                                                                                            ;000421193******0181                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007674;UAT CR-69 951 009             ;00000000020000000;11111999;0699510009        ;699510000009;00000000;0029510000000187;951;00112019                                                                                                            ;000421193******0199                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007682;UAT CR-69 951 010             ;00000000020000000;11111999;0699510010        ;699510000010;00000000;0029510000000195;951;00112019                                                                                                            ;000421193******0207                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007690;UAT CR-69 951 011             ;00000000020000000;11111999;0699510011        ;699510000011;00000000;0029510000000203;951;00112019                                                                                                            ;000421193******0215                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007708;UAT CR-69 951 012             ;00000000020000000;11111999;0699510012        ;699510000012;00000000;0029510000000211;951;00112019                                                                                                            ;000421193******0223                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007716;UAT CR-69 951 013             ;00000000020000000;11111999;0699510013        ;699510000013;00000000;0029510000000229;951;00112019                                                                                                            ;000421193******0231                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007724;UAT CR-69 951 014             ;00000000020000000;11111999;0699510014        ;699510000014;00000000;0029510000000237;951;00112019                                                                                                            ;000421193******0249                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007732;UAT CR-69 951 015             ;00000000020000000;11111999;0699510015        ;699510000015;00000000;0029510000000245;951;00112019                                                                                                            ;000421193******0256                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007740;UAT CR-69 951 016             ;00000000020000000;11111999;0699510016        ;699510000016;00000000;0029510000000252;951;00112019                                                                                                            ;000421193******0264                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007757;UAT CR-69 951 017             ;00000000020000000;11111999;0699510017        ;699510000017;00000000;0029510000000260;951;00112019                                                                                                            ;000421193******0272                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007765;UAT CR-69 951 018             ;00000000020000000;11111999;0699510018        ;699510000018;00000000;0029510000000278;951;00112019                                                                                                            ;000421193******0280                                                                                                                                                                                                                                                ;                                                  ;1;06112018;I                        ;05072019                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
0000000000007773;UAT CR-69 951 019             ;00000000020000000;11111999;0699510019        ;699510000019;00000000;0029510000000286;951;00082019                                                                                                            ;000421193******0298                                                                                                                                                                                                                                                ;                                                  ;0;06112018;1                        ;00000000                                                                                                            ;Z                                                                                                                                                                                                                                                                                        
